12:21:41:763 [ALWAYS]	GUDE Logging Started
12:21:41:763 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
12:21:41:763 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
12:21:41:763 [ERROR]	Initialize resume cache pointer failure
12:21:41:763 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
12:21:41:763 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
12:21:42:871 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
12:21:42:871 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
12:21:42:871 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
12:21:42:871 [ERROR]	Initialize resume cache pointer failure
12:21:42:871 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
12:21:42:871 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
